datetime,episode,steps,return,epsilon
2025-10-28 23:17:43,255,348,106.52,0.028
2025-10-28 23:17:43,256,246,107.54,0.028
2025-10-28 23:17:43,257,318,166.82,0.028
2025-10-28 23:17:43,258,962,320.38,0.027
2025-10-28 23:17:43,259,497,205.03,0.027
2025-10-28 23:17:43,260,466,205.34,0.027
2025-10-28 23:17:43,261,960,410.4,0.027
2025-10-28 23:17:43,262,660,233.4,0.027
2025-10-28 23:17:43,263,359,176.41,0.027
2025-10-28 23:17:43,264,626,273.74,0.027
2025-10-28 23:17:43,265,247,97.53,0.026
2025-10-28 23:17:43,266,48,-10.48,0.026
2025-10-28 23:17:43,267,406,155.94,0.026
2025-10-28 23:17:43,268,22,-0.22,0.026
2025-10-28 23:17:43,269,307,136.93,0.026
2025-10-28 23:17:43,270,245,97.55,0.026
2025-10-28 23:17:43,271,232,97.68,0.026
2025-10-28 23:17:43,272,264,77.36,0.026
2025-10-28 23:17:43,273,30,-0.3,0.025
2025-10-28 23:17:43,274,262,27.38,0.025
2025-10-28 23:17:43,275,602,313.98,0.025
2025-10-28 23:17:43,276,453,185.47,0.025
2025-10-28 23:17:43,277,539,194.61,0.025
2025-10-28 23:17:43,278,481,185.19,0.025
2025-10-28 23:17:43,279,260,67.4,0.025
2025-10-28 23:17:43,280,823,121.77,0.025
2025-10-28 23:17:43,281,621,183.79,0.024
2025-10-28 23:17:43,282,220,117.8,0.024
2025-10-28 23:17:43,283,534,234.66,0.024
2025-10-28 23:17:43,284,473,175.27,0.024
2025-10-28 23:17:43,285,775,282.25,0.024
2025-10-28 23:17:43,286,452,155.48,0.024
2025-10-28 23:17:43,287,236,87.64,0.024
2025-10-28 23:17:43,288,315,126.85,0.024
2025-10-28 23:17:43,289,199,88.01,0.023
2025-10-28 23:17:43,290,244,87.56,0.023
2025-10-28 23:17:43,291,74,9.26,0.023
2025-10-28 23:17:43,292,209,117.91,0.023
2025-10-28 23:17:43,293,164,8.36,0.023
2025-10-28 23:17:43,294,237,77.63,0.023
2025-10-28 23:17:43,295,181,18.19,0.023
2025-10-28 23:17:43,296,490,215.1,0.023
2025-10-28 23:17:43,297,416,125.84,0.023
2025-10-28 23:17:43,298,147,28.53,0.022
2025-10-28 23:17:43,299,495,185.05,0.022
2025-10-28 23:17:43,300,460,35.4,0.022
